"Analysis Type","NCBI BioProject ID (Strain 1)","Strain 1","GI (Strain 1)","Locus Tag (Strain 1)","NCBI RefSeq Accession (Strain 1)","Description (Strain 1)","NCBI BioProject ID (Strain 2)","Strain 2","GI (Strain 2)","Locus Tag (Strain 2)","NCBI RefSeq Accession (Strain 2)","Description (Strain 2)","Inparalogs","Strain 1 Inparalogs (Locus Tag/Name)","Strain 2 Inparalogs (Locus Tag/Name)","Ortholuge Class"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079289","BSU22320","NP_390113.1","peptidoglycan glycosyltransferase","58531","Escherichia coli 536","110643629","ECP_3482","WP_001298208.1","peptidoglycan synthetase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079291","BSU22340","NP_390115.1","endonuclease III","58531","Escherichia coli 536","110641756","ECP_1578","WP_001030339.1","endonuclease III","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079293","BSU22360","NP_390117.1","asparaginyl-tRNA synthetase","58531","Escherichia coli 536","110641127","ECP_0941","WP_000117881.1","asparaginyl-tRNA synthetase","","","","Borderline-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079294","BSU22370","NP_390118.1","aspartate aminotransferase","58531","Escherichia coli 536","110642494","ECP_2329","WP_000074527.1","aminotransferase AlaT","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079297","BSU22400","NP_390121.1","bifunctional ATP-dependent DNA helicase/DNA polymerase III subunit epsilon","58531","Escherichia coli 536","110641925","ECP_1751","WP_000128855.1","ATP-dependent helicase YoaA","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079298","BSU22410","NP_390122.1","aspartate alpha-decarboxylase","58531","Escherichia coli 536","110640350","ECP_0139","WP_000621507.1","aspartate alpha-decarboxylase","","","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079299","BSU22420","NP_390123.1","pantoate--beta-alanine ligase","58531","Escherichia coli 536","110640353","ECP_0142","WP_000905378.1","pantoate--beta-alanine ligase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079300","BSU22430","NP_390124.1","3-methyl-2-oxobutanoate hydroxymethyltransferase","58531","Escherichia coli 536","110640354","ECP_0143","WP_000805441.1","3-methyl-2-oxobutanoate hydroxymethyltransferase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079301","BSU22440","NP_390125.1","biotin acetyl-CoA-carboxylase ligase and biotin regulon repressor","58531","Escherichia coli 536","110644313","ECP_4187","WP_000654596.1","biotin--protein ligase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079302","BSU22450","NP_390126.1","tRNA CCA-pyrophosphorylase","58531","Escherichia coli 536","110640364","ECP_0153","WP_001297048.1","poly(A) polymerase I","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079303","BSU22460","NP_390127.1","hypothetical protein","58531","Escherichia coli 536","110642254","ECP_2084","WP_000862622.1","putative colanic acid biosynthesis glycosyl transferase WcaL","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767484","BSU22470","NP_390128.2","hypothetical protein","58531","Escherichia coli 536","110640630","ECP_0426","WP_000362014.1","LmbE-like protein","1","","ECP_1998[hypothetical protein]","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767484","BSU22470","NP_390128.2","hypothetical protein","58531","Escherichia coli 536","110642168","ECP_1998","WP_024174324.1","hypothetical protein","","","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079305","BSU22480","NP_390129.1","methylglyoxal synthase","58531","Escherichia coli 536","110641153","ECP_0969","WP_001295939.1","methylglyoxal synthase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079306","BSU22490","NP_390130.1","dihydrodipicolinate reductase","58531","Escherichia coli 536","110640242","ECP_0029","WP_000543585.1","dihydrodipicolinate reductase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079317","BSU22600","NP_390141.1","3-phosphoshikimate 1-carboxyvinyltransferase","58531","Escherichia coli 536","110641105","ECP_0919","WP_000445244.1","3-phosphoshikimate 1-carboxyvinyltransferase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767486","BSU22620","NP_390143.2","histidinol-phosphate aminotransferase","58531","Escherichia coli 536","110642234","ECP_2064","WP_000108995.1","histidinol-phosphate aminotransferase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079320","BSU22630","NP_390144.1","tryptophan synthase subunit alpha","58531","Escherichia coli 536","110641490","ECP_1308","WP_000443091.1","tryptophan synthase subunit alpha","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","50812257","BSU22640","NP_390145.2","tryptophan synthase subunit beta","58531","Escherichia coli 536","110641491","ECP_1309","WP_000209513.1","tryptophan synthase subunit beta","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767488","BSU22660","NP_390147.3","indole-3-glycerol-phosphate synthase","58531","Escherichia coli 536","110641492","ECP_1310","WP_001541273.1","bifunctional indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079325","BSU22680","NP_390149.1","anthranilate synthase component I","58531","Escherichia coli 536","110641494","ECP_1312","WP_001194643.1","anthranilate synthase component I","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079327","BSU22700","NP_390151.1","3-dehydroquinate synthase","58531","Escherichia coli 536","110643622","ECP_3475","WP_000439858.1","3-dehydroquinate synthase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767489","BSU22710","NP_390152.3","chorismate synthase","58531","Escherichia coli 536","110642533","ECP_2368","WP_001297933.1","chorismate synthase","","","","Borderline-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","50812262","BSU22720","NP_390153.2","methyl-accepting chemotaxis protein","58531","Escherichia coli 536","110642001","ECP_1829","WP_000204320.1","chemotaxis methyltransferase CheR","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079330","BSU22730","NP_390154.1","nucleoside diphosphate kinase","58531","Escherichia coli 536","110642683","ECP_2523","WP_000963841.1","nucleoside diphosphate kinase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079331","BSU22740","NP_390155.1","heptaprenyl diphosphate synthase component II","58531","Escherichia coli 536","110643427","ECP_3274","WP_001047338.1","octaprenyl diphosphate synthase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079332","BSU22750","NP_390156.1","ubiquinone/menaquinone biosynthesis methyltransferase","58531","Escherichia coli 536","110644179","ECP_4048","WP_000227959.1","ubiquinone/menaquinone biosynthesis methyltransferase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079335","BSU22780","NP_390159.1","GTP cyclohydrolase I","58531","Escherichia coli 536","110642363","ECP_2193","WP_001139613.1","GTP cyclohydrolase I","","","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079336","BSU22790","NP_390160.1","non-specific DNA-binding protein HBsu; signal recognition particle-like (SRP) component","58531","Escherichia coli 536","110644335","ECP_4213","WP_001044513.1","transcriptional regulator HU subunit alpha","1","","ECP_0501[transcriptional regulator HU subunit beta]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079336","BSU22790","NP_390160.1","non-specific DNA-binding protein HBsu; signal recognition particle-like (SRP) component","58531","Escherichia coli 536","110640701","ECP_0501","WP_001043542.1","transcriptional regulator HU subunit beta","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079340","BSU22830","NP_390164.1","NAD(P)H-dependent glycerol-3-phosphate dehydrogenase","58531","Escherichia coli 536","110643852","ECP_3709","WP_001076194.1","NAD(P)H-dependent glycerol-3-phosphate dehydrogenase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079341","BSU22840","NP_390165.1","GTP-binding protein EngA","58531","Escherichia coli 536","110642676","ECP_2516","WP_001296291.1","GTP-binding protein EngA","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079345","BSU22880","NP_390169.1","30S ribosomal protein S1","58531","Escherichia coli 536","110641108","ECP_0922","WP_000140327.1","30S ribosomal protein S1","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079346","BSU22890","NP_390170.1","cytidylate kinase","58531","Escherichia coli 536","110641107","ECP_0921","WP_000125016.1","cytidylate kinase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767494","BSU22960","NP_390177.2","cryptic glutamate dehydrogenase","58531","Escherichia coli 536","110641881","ECP_1707","WP_000373044.1","glutamate dehydrogenase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767495","BSU23070","NP_390188.2","D-3-phosphoglycerate dehydrogenase","58531","Escherichia coli 536","110643060","ECP_2905","WP_001151610.1","D-3-phosphoglycerate dehydrogenase","","","","Borderline-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079365","BSU23080","NP_390189.1","3-dehydroquinate dehydratase","58531","Escherichia coli 536","110641814","ECP_1640","WP_000860202.1","3-dehydroquinate dehydratase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079368","BSU23110","NP_390192.1","two-component sensor histidine kinase","58531","Escherichia coli 536","110640661","ECP_0459","WP_000893601.1","phosphate regulon sensor protein","2","BSU29100[two-component sensor histidine kinase];BSU40400[two-component sensor histidine kinase YycF]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767498","BSU23120","NP_390193.2","two-component response regulator","58531","Escherichia coli 536","110642289","ECP_2119","WP_000137877.1","DNA-binding transcriptional regulator BaeR","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767500","BSU23150","NP_390196.2","thiol-disulfide oxidoreductase","58531","Escherichia coli 536","110642404","ECP_2235","YP_670134.1","thiol:disulfide interchange protein DsbE","1","BSU18010[membrane-bound proteins with a thioredoxin-like domain]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767501","BSU23160","NP_390197.2","pseudouridine synthase","58531","Escherichia coli 536","110641498","ECP_1316","WP_001291206.1","23S rRNA pseudouridylate synthase B","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079382","BSU23250","NP_390206.1","6,7-dimethyl-8-ribityllumazine synthase","58531","Escherichia coli 536","110640676","ECP_0474","WP_001021161.1","6,7-dimethyl-8-ribityllumazine synthase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079383","BSU23260","NP_390207.1","bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II protein","58531","Escherichia coli 536","110641512","ECP_1330","WP_001176294.1","GTP cyclohydrolase II","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079384","BSU23270","NP_390208.1","riboflavin synthase subunit alpha","58531","Escherichia coli 536","110641785","ECP_1609","WP_000493948.1","riboflavin synthase subunit alpha","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079385","BSU23280","NP_390209.1","bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino) uracil reductase","58531","Escherichia coli 536","110640675","ECP_0473","WP_001150440.1","bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079388","BSU23310","NP_390212.1","type I signal peptidase","58531","Escherichia coli 536","110642730","ECP_2570","WP_000002542.1","signal peptidase I","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079393","BSU23360","NP_390217.1","peptidyl-prolyl isomerase","58531","Escherichia coli 536","110643603","ECP_3454","WP_000477225.1","peptidyl-prolyl cis-trans isomerase A (rotamase A)","1","","ECP_0586[peptidyl-prolyl cis-trans isomerase B (rotamase B)]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079393","BSU23360","NP_390217.1","peptidyl-prolyl isomerase","58531","Escherichia coli 536","110640786","ECP_0586","WP_000256002.1","peptidyl-prolyl cis-trans isomerase B (rotamase B)","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079395","BSU23380","NP_390219.1","diaminopimelate decarboxylase","58531","Escherichia coli 536","110643006","ECP_2851","WP_001120720.1","diaminopimelate decarboxylase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079405","BSU23480","NP_390229.1","D-alanyl-D-alanine carboxypeptidase","58531","Escherichia coli 536","110641041","ECP_0853","WP_000195961.1","D-alanyl-D-alanine carboxypeptidase fraction C","2","","ECP_2054[D-alanyl-D-alanine carboxypeptidase];ECP_0662[D-alanyl-D-alanine carboxypeptidase fraction A]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079405","BSU23480","NP_390229.1","D-alanyl-D-alanine carboxypeptidase","58531","Escherichia coli 536","110642224","ECP_2054","WP_001297905.1","D-alanyl-D-alanine carboxypeptidase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079405","BSU23480","NP_390229.1","D-alanyl-D-alanine carboxypeptidase","58531","Escherichia coli 536","110640861","ECP_0662","WP_001092082.1","D-alanyl-D-alanine carboxypeptidase fraction A","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079406","BSU23490","NP_390230.1","purine nucleoside phosphorylase","58531","Escherichia coli 536","110642590","ECP_2430","WP_000283878.1","purine nucleoside phosphorylase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767508","BSU23500","NP_390231.2","phosphopentomutase","58531","Escherichia coli 536","110644820","ECP_4767","WP_000816460.1","phosphopentomutase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767509","BSU23510","NP_390232.2","site-specific tyrosine recombinase XerD","58531","Escherichia coli 536","110643042","ECP_2887","WP_000806638.1","site-specific tyrosine recombinase XerD","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767511","BSU23520","NP_390233.2","transcriptional regulator for iron transport and metabolism","58531","Escherichia coli 536","110640902","ECP_0703","WP_000131702.1","ferric uptake regulator","1","BSU08730[Fur family transcriptional regulator]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079413","BSU23560","NP_390237.1","malate-H+/Na+-lactate antiporter","58531","Escherichia coli 536","110644722","ECP_4615","WP_001063844.1","putative Na+/H+ antiporter","1","BSU09680[Na+/H+ antiporter]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767512","BSU23570","NP_390238.2","aspartate ammonia-lyase","58531","Escherichia coli 536","110644498","ECP_4383","WP_000069437.1","aspartate ammonia-lyase","","","",""
